"","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction1","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction2","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction3","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction4","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction5","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction6","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction7","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction8","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction9","Orbitrap_HeLaCE_IEF_pH5_to_8_Fraction10"
"Q58FG1",6,5,0,0,0,0,0,0,0,0
"Q58FG0",7,7,0,0,0,0,0,0,0,0
"Q2VIR3",4,2,0,0,0,0,0,0,0,0
"P13645",33,35,53,25,40,45,40,59,38,61
"P02533",5,2,10,5,2,5,2,5,2,12
"P08779",0,0,4,0,0,1,0,0,0,3
"Q04695",1,0,0,0,0,0,0,0,0,0
"P35527",29,22,27,18,24,30,22,25,29,43
"P35908",25,24,34,20,30,28,27,45,28,45
"P02538",2,0,4,2,0,2,0,2,0,5
"Q8N1N4",0,0,0,0,0,0,0,2,0,0
"P05787",7,9,0,0,0,0,0,0,0,0
"Q53QV2",3,0,0,0,0,0,0,0,0,0
"Q9Y383",2,2,0,0,0,0,0,0,0,0
"Q9BYZ2",0,0,0,0,0,0,0,0,1,0
"Q3ZCW2",0,1,0,0,0,0,0,0,0,0
"P55145",2,0,0,0,0,0,0,0,7,11
"P40925",10,21,18,41,32,11,0,0,0,0
"Q8N4Q1",2,0,0,0,0,0,0,0,0,0
"P49006",3,2,0,0,0,0,0,0,0,0
"P58546",5,10,65,5,0,0,0,0,0,0
"P35749",5,7,0,0,0,0,0,0,0,0
"P05976",3,3,0,0,0,0,0,0,0,0
"Q9H009",0,2,0,0,0,0,0,0,0,0
"O60361",0,0,2,12,21,21,18,15,17,12
"P15531",0,0,0,0,17,0,17,0,0,0
"P22392",0,2,0,5,8,7,4,6,4,4
"Q15843",0,0,0,0,0,6,11,10,14,11
"Q99733",4,5,0,0,0,0,0,0,0,0
"P61916",0,0,0,0,4,4,4,2,4,2
"P11940",0,6,0,0,3,0,0,0,0,0
"Q15366",0,0,0,0,13,10,2,0,0,0
"P42336",2,2,0,0,0,0,0,0,0,0
"Q6XQN6",0,2,0,0,0,0,0,0,0,0
"P48556",1,0,0,0,0,0,0,0,0,0
"P22234",0,6,0,0,0,0,2,0,0,0
"P29373",0,0,3,0,0,0,0,0,0,0
"P35241",2,3,0,2,7,0,0,0,0,0
"P62750",10,3,0,0,0,0,0,0,0,0
"P52815",0,0,0,0,0,0,0,0,2,0
"P56715",0,0,0,0,0,0,0,0,1,0
"P62854",2,0,0,0,0,0,0,0,0,0
"P06702",2,0,0,0,0,0,0,0,0,0
"Q99584",0,0,0,0,12,4,0,0,0,0
"Q15637",0,0,0,0,0,0,0,0,1,2
"O00193",3,4,0,0,0,0,0,0,0,0
"P40763",3,3,0,0,0,0,0,0,0,0
"Q9Y3F4",4,4,0,0,0,0,0,0,0,0
"Q71U36",100,111,10,9,0,0,2,2,0,10
"P68363",11,14,4,0,0,0,1,0,0,2
"Q9H4B7",10,14,0,0,0,0,0,0,0,0
"P68371",32,41,4,0,0,0,0,0,0,0
"Q99867",0,2,0,0,0,0,0,0,0,0
"P07437",17,23,0,0,0,0,0,0,0,0
"Q9BUF5",0,2,0,0,0,0,0,0,0,0
"Q92526",3,2,0,0,0,0,0,0,0,0
"P13693",1,9,0,0,0,0,0,0,0,0
"Q86V81",3,2,0,0,0,0,0,0,0,0
"P29401",37,27,1,0,0,3,40,80,236,319
"Q8TEL6",0,0,2,0,0,0,0,0,0,0
"P55327",7,6,0,0,0,0,0,0,0,0
"O43399",9,6,0,0,0,0,0,0,0,0
"O43715",0,0,2,0,0,0,0,0,0,0
"P51668",0,0,0,0,0,0,2,3,6,5
"Q8NEY4",0,0,0,0,0,0,0,0,0,8
"Q6FIF0",0,0,0,2,2,0,0,0,0,0
"P08195",7,0,0,0,0,0,0,0,0,0
"P52209",14,2,56,28,10,0,0,0,0,0
"P07108",0,0,0,19,14,0,0,0,0,0
"P12814",36,43,0,0,0,0,0,0,0,0
"P30838",0,0,0,0,37,49,25,0,0,0
"P49189",0,0,0,2,0,0,0,0,0,0
"P04075",34,48,8,0,0,0,0,0,0,0
"P07355",48,32,0,0,7,31,109,134,209,226
"P09525",0,0,0,0,39,15,0,0,0,0
"P20073",0,0,0,14,18,7,1,0,0,0
"P18859",0,0,0,3,2,0,0,0,0,0
"Q07812",0,7,0,0,0,0,0,0,0,0
"P55957",0,0,3,0,0,0,0,0,0,0
"Q13867",0,0,6,0,0,0,0,0,0,0
"P30043",2,3,0,0,0,0,0,0,0,0
"Q9H3K6",0,0,0,18,14,3,0,0,0,0
"P11586",16,13,0,0,0,0,0,0,0,0
"Q5JTJ3",0,0,0,0,2,4,9,4,4,0
"P62158",12,0,0,0,0,0,0,0,0,0
"P47756",0,0,0,0,11,14,0,0,0,0
"P42771",8,8,0,1,0,0,0,0,0,0
"P61024",0,0,0,0,0,0,0,0,4,7
"P10909",1,0,0,0,0,0,0,0,0,0
"Q8N129",0,6,0,0,0,0,0,0,0,0
"P31327",3,2,0,38,16,0,0,0,0,0
"P14854",0,0,0,9,3,0,0,0,0,0
"Q13561",1,1,0,0,0,0,0,0,0,0
"Q9NP97",0,0,0,16,8,3,0,0,0,0
"P30046",0,0,0,0,14,8,8,6,0,0
"P51452",0,0,0,12,7,2,0,0,0,0
"P49411",2,0,0,0,0,0,0,0,0,0
"Q15370",4,1,0,0,0,0,0,0,0,0
"O43768",0,0,0,0,13,9,4,0,0,2
"Q9NZ08",0,0,0,8,0,0,0,0,0,0
"Q01844",2,2,0,0,0,0,0,0,0,0
"Q9H098",0,0,0,0,0,0,3,0,5,0
"Q13642",0,0,0,0,0,0,0,0,1,3
"P62942",0,0,0,0,0,0,0,4,18,16
"Q16658",0,0,0,0,8,42,74,60,42,28
"Q96AE4",1,2,0,3,4,18,25,15,14,9
"Q92945",0,0,0,0,0,10,5,2,0,0
"P11413",14,18,0,0,0,0,0,0,0,0
"P63244",20,11,0,0,0,5,30,27,24,30
"P35573",0,0,0,0,31,18,0,0,0,0
"P52565",8,2,0,0,0,0,0,0,0,0
"Q9HC38",0,0,28,0,0,0,0,0,0,0
"Q9Y5P6",0,0,0,0,2,1,0,0,0,0
"Q9UBQ7",0,0,0,24,25,11,6,0,0,0
"P11021",66,73,0,0,0,0,0,0,0,1
"Q9UK76",0,0,17,24,7,1,0,0,0,0
"P31943",4,8,0,0,0,0,0,0,0,0
"P07910",2,2,0,0,0,0,0,0,0,0
"P07900",44,45,0,0,0,0,2,2,0,2
"P20810",0,46,3,0,0,0,0,0,0,0
"Q13907",0,0,0,4,8,5,0,0,0,0
"P63241",8,10,0,0,0,0,0,0,0,0
"P00568",0,0,0,0,0,0,0,0,30,34
"Q9Y2Q5",0,0,0,2,0,0,0,0,0,0
"Q13765",17,16,0,0,0,0,0,0,0,0
"P49321",7,4,0,0,0,0,0,0,0,0
"Q9NQR4",0,0,0,6,35,16,2,0,0,0
"P16083",0,13,0,0,0,0,0,0,0,0
"O43847",0,5,0,0,0,0,0,0,0,0
"Q9H1E3",0,10,3,6,3,0,0,0,0,0
"Q9UKK9",0,65,0,0,0,0,0,0,0,0
"Q8WUM4",2,2,0,2,38,10,0,0,0,0
"Q15084",11,13,0,0,0,0,0,0,0,0
"P22061",0,0,0,13,10,7,2,0,0,0
"P48739",0,0,0,9,0,0,0,0,0,0
"P00491",0,0,0,33,59,5,0,0,0,0
"P10619",0,0,6,13,0,0,0,0,0,0
"P62937",21,3,0,24,61,85,133,123,217,217
"P25786",3,2,0,0,0,0,0,0,0,0
"P61289",4,3,4,0,0,0,0,0,0,0
"Q5JS54",0,0,4,0,0,0,0,0,0,0
"P20962",2,0,0,0,0,0,0,0,0,0
"P62826",13,14,0,0,0,0,0,0,0,0
"P43487",9,0,0,0,0,0,0,0,0,0
"P18754",0,1,0,0,0,0,0,0,0,0
"Q14257",0,2,0,0,0,0,0,0,0,0
"P62906",5,4,0,0,0,0,0,0,0,0
"P50914",5,4,0,0,0,0,0,0,0,0
"P83731",7,5,0,0,0,0,0,0,0,0
"P61353",4,0,0,0,0,0,0,0,0,0
"P62899",4,4,0,0,0,0,0,0,0,0
"Q02878",12,10,0,0,0,0,0,0,0,0
"P60866",5,0,0,0,0,0,0,0,0,0
"P62857",0,0,0,0,0,0,0,0,13,15
"P62241",22,17,0,0,0,0,0,0,0,0
"P08865",12,16,0,0,0,0,0,0,0,0
"P07602",0,4,0,0,0,0,0,0,0,0
"Q13228",0,0,24,140,53,3,0,0,0,0
"Q9H299",0,10,0,0,0,0,0,0,0,0
"P62318",3,1,0,0,0,0,0,0,0,0
"O75391",0,0,0,0,0,0,2,3,2,3
"P35237",0,25,53,0,0,0,0,0,0,0
"P41252",0,2,0,0,0,0,0,0,0,0
"P37802",8,0,0,7,7,9,20,34,91,106
"O75347",0,0,39,25,0,0,0,0,0,0
"Q15185",13,9,0,0,0,0,0,0,0,0
"Q92734",0,2,0,0,0,0,0,0,0,0
"P60174",31,0,26,409,147,55,4,3,0,4
"P09493",10,0,0,0,0,0,0,0,0,0
"O43396",0,3,0,0,0,0,0,0,0,0
"Q13404",0,0,0,0,0,0,0,9,29,29
"P63279",0,0,0,0,0,0,0,0,4,9
"Q04323",2,0,0,0,0,0,0,0,0,0
"Q92890",0,0,0,0,1,0,0,0,0,0
"O75083",0,0,0,11,0,0,0,0,0,0
"Q9NQW7",0,2,0,0,0,0,0,0,0,0
