"","Orbitrap_HeLaCE_SGF_Fraction1","Orbitrap_HeLaCE_SGF_Fraction2","Orbitrap_HeLaCE_SGF_Fraction3","Orbitrap_HeLaCE_SGF_Fraction4","Orbitrap_HeLaCE_SGF_Fraction5","Orbitrap_HeLaCE_SGF_Fraction6","Orbitrap_HeLaCE_SGF_Fraction7-2","Orbitrap_HeLaCE_SGF_Fraction8","Orbitrap_HeLaCE_SGF_Fraction9","Orbitrap_HeLaCE_SGF_Fraction10","Orbitrap_HeLaCE_SGF_Fraction11","Orbitrap_HeLaCE_SGF_Fraction12","Orbitrap_HeLaCE_SGF_Fraction13","Orbitrap_HeLaCE_SGF_Fraction14"
"P51648",0,0,12,9,11,0,17,0,6,9,0,0,0,0
"P49189",0,6,0,0,0,0,0,0,0,0,0,0,0,0
"P04075",0,101,141,92,109,87,86,68,72,61,47,9,2,0
"Q01433",0,11,0,0,0,0,0,0,0,0,0,0,0,0
"P07355",0,15,24,0,19,33,91,76,69,47,26,10,9,8
"P09525",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"P20073",0,0,0,0,3,2,0,4,1,0,0,0,0,0
"P63010",0,0,0,5,1,4,0,15,0,9,0,0,0,0
"O14617",0,0,12,0,0,8,0,2,0,0,0,0,0,0
"Q9BZZ5",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"O60306",0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Q92974",0,13,6,5,0,0,0,0,0,0,0,0,0,0
"P61160",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"P00966",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"P98194",0,0,0,2,2,2,5,3,4,0,0,0,0,0
"P18859",0,0,28,92,81,113,57,49,32,11,6,3,2,2
"Q9UL15",0,0,4,6,0,0,0,0,0,0,0,0,0,0
"P46379",0,7,2,8,0,0,0,0,0,0,0,0,0,0
"Q07812",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"P11586",0,0,33,6,26,61,79,101,116,95,47,14,23,31
"P62158",0,0,41,80,53,55,19,20,19,22,17,12,11,1
"P47756",0,0,8,3,0,0,0,0,2,0,0,0,0,0
"Q8IVM0",0,0,0,3,0,0,0,0,0,0,0,0,0,0
"P42771",0,0,0,0,0,6,0,0,0,0,0,0,0,0
"P06493",0,0,0,6,0,0,0,0,0,0,0,0,0,0
"Q96G23",0,0,4,16,15,19,19,9,2,0,0,0,0,0
"Q14839",0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Q9Y3Y2",0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Q9H078",0,0,16,21,10,7,0,2,0,0,0,0,0,0
"O96005",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P10909",0,0,0,0,2,3,0,0,7,0,0,0,0,0
"Q9UJS0",0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Q8N129",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"O14548",0,0,0,0,0,0,0,2,0,3,0,0,0,0
"Q99829",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Q96FN4",0,0,0,0,1,0,4,0,0,0,0,0,0,0
"Q16630",0,0,0,15,4,4,0,0,0,0,0,0,0,0
"P31327",0,8,264,133,197,192,186,195,201,186,100,77,56,15
"P68400",0,0,2,0,4,6,3,5,3,0,0,0,0,0
"P61201",0,4,0,2,0,0,0,0,0,0,0,0,0,0
"Q9Y312",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"P35221",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"O60716",0,0,2,2,0,0,0,0,0,0,0,0,0,0
"O43169",0,0,0,0,0,5,0,10,2,4,0,0,0,0
"P08174",0,0,0,0,2,2,7,4,8,1,0,0,0,0
"Q9NR28",0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Q9NPI6",0,0,0,0,0,0,0,0,0,2,2,0,0,0
"Q14203",6,0,72,14,24,7,0,0,0,0,0,2,0,0
"Q13561",0,0,124,52,52,24,0,0,0,1,1,0,0,0
"Q92841",0,0,0,0,0,0,6,6,14,20,19,19,18,8
"Q9NP97",0,0,20,18,9,0,0,0,0,0,0,0,0,0
"Q9ULA0",0,0,6,16,1,3,0,0,0,0,0,0,0,0
"Q14185",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"O60762",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"P28340",0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Q14194",0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Q99848",0,0,0,0,0,0,0,10,0,0,0,0,0,0
"Q5VYK3",0,0,3,0,7,0,0,0,0,0,0,0,0,0
"P43897",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P49411",0,0,20,9,27,17,28,15,14,20,15,10,10,5
"Q96KQ7",0,0,0,5,0,0,0,0,4,0,0,0,0,0
"Q9UI10",0,0,0,0,0,0,5,5,0,1,0,0,0,0
"Q9BY44",0,0,0,2,8,11,0,0,0,0,0,0,0,0
"P55884",0,0,0,0,32,37,57,18,9,6,9,7,8,5
"Q99613",0,0,1,7,58,88,63,35,32,33,29,22,22,15
"Q9Y262",0,0,0,0,33,87,67,51,40,18,17,3,3,0
"Q96EB1",0,0,10,0,0,0,0,0,0,0,0,0,0,0
"Q32P44",0,0,7,0,0,0,0,0,0,0,0,0,0,0
"Q9Y6I3",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Q9NZ08",0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Q969X5",0,0,0,0,2,0,2,0,0,0,0,0,0,0
