"","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction1","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction2","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction3","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction4","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction5","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction6","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction7","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction8","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction9","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction10"
"P46782",0,1,0,0,0,0,0,0,0,0
"P62081",0,1,0,0,0,0,0,0,0,0
"P60903",3,0,0,0,0,0,0,0,0,0
"P31949",0,0,0,0,13,22,0,0,0,0
"Q96FQ6",0,0,0,0,2,4,0,0,0,0
"P23526",0,0,0,0,42,31,0,0,0,0
"P82979",0,0,0,0,0,0,0,0,0,3
"P55809",2,0,0,0,4,6,0,0,0,0
"Q96FV2",0,0,0,2,0,0,0,0,0,0
"Q9NVA2",0,0,0,0,0,0,0,0,0,3
"O43175",0,0,0,3,0,0,0,0,0,0
"P50454",12,14,0,0,0,0,0,0,3,40
"Q01105",0,0,0,0,10,0,0,0,0,0
"P23246",0,0,0,0,0,0,0,0,0,3
"O75368",0,0,0,25,34,5,0,0,0,0
"Q9UHJ6",0,0,0,0,0,0,5,0,0,0
"Q9NR45",0,0,0,0,7,9,0,0,0,0
"P63208",0,0,9,0,0,0,0,0,0,0
"Q9GZT3",0,0,0,0,0,2,0,0,0,0
"Q9UMY4",0,0,0,0,0,0,0,0,0,10
"O60493",0,0,0,0,0,0,0,0,0,4
"P00441",0,0,5,166,12,10,0,0,0,0
"P04179",10,6,0,0,0,0,0,5,6,0
"P30626",0,0,0,0,17,3,0,0,0,0
"Q86XZ4",0,0,0,0,0,0,0,0,0,2
"P36952",0,0,0,20,73,4,0,0,0,0
"P19623",0,0,0,29,0,0,0,0,0,0
"Q9HD15",0,0,0,0,0,0,0,4,0,0
"P37108",0,0,0,0,0,0,0,0,0,1
"P84103",0,7,0,0,0,0,0,0,0,0
"P31948",0,0,0,2,0,25,4,2,0,0
"Q9UJZ1",0,0,0,0,6,0,0,0,0,0
"P16949",0,0,0,0,61,66,21,7,0,0
"P26639",0,0,0,4,12,9,0,0,0,0
"O76070",0,0,27,12,1,1,0,2,0,0
"Q12962",0,2,2,2,0,0,0,0,0,0
"Q01995",0,0,0,0,0,0,1,0,4,17
"P37837",0,0,0,10,66,53,31,13,0,0
"P68366",0,0,0,2,0,0,0,0,0,0
"Q13885",0,4,0,8,5,7,0,0,0,3
"P50991",0,0,0,3,0,0,0,0,0,0
"Q99832",0,0,0,2,0,0,0,0,0,0
"P50990",0,0,0,4,2,0,0,0,2,6
"P55072",0,0,0,8,0,0,0,0,0,0
"P24752",1,0,0,0,0,0,0,0,0,0
"P42765",1,0,0,0,0,0,0,0,0,0
"P10599",0,0,20,54,6,0,0,0,0,0
"P52888",0,0,0,4,14,0,0,0,0,0
"P25325",0,0,0,0,0,7,0,0,0,0
"Q9Y5L4",2,0,0,0,0,0,0,0,2,3
"O75663",0,0,0,0,2,0,0,0,0,0
"Q04726",0,0,0,0,0,3,0,0,0,0
"Q9Y490",0,3,0,11,2,0,0,0,0,0
"Q12931",0,0,0,3,0,0,0,0,0,0
"Q16881",0,0,0,24,96,22,0,0,0,0
"Q15631",0,0,0,17,0,0,0,0,0,0
"Q5R3I4",0,0,0,0,0,0,5,9,10,0
"Q6IBS0",0,0,0,0,5,8,0,0,0,0
"O14907",0,0,0,0,0,0,3,6,2,0
"O95881",0,0,0,11,0,0,0,0,0,0
"Q9BRA2",0,0,0,22,55,5,0,0,0,0
"P40222",0,0,0,1,0,0,0,0,0,0
"P68036",0,0,0,0,0,0,0,0,3,12
"Q15819",0,0,0,0,0,0,5,8,7,7
"P22314",0,0,0,7,0,0,0,0,0,0
"P61081",0,0,0,0,0,0,0,4,3,0
"P61086",0,0,0,23,0,0,0,0,0,0
"P61088",0,0,0,0,0,3,0,0,0,0
"Q9NPD8",0,0,0,0,0,0,0,2,2,0
"Q9UMX0",0,1,0,0,0,0,0,0,0,0
"P61960",0,0,0,0,0,0,0,0,0,2
"O60701",0,0,0,0,0,0,23,16,0,0
"P52758",0,0,0,0,0,0,0,0,0,3
"Q99536",0,2,0,0,0,0,0,0,0,0
"P08670",12,20,6,9,7,5,0,0,0,0
"P18206",0,0,0,0,45,31,0,0,0,0
"Q969T9",0,0,0,3,0,0,0,0,0,0
"P12956",0,4,0,2,0,0,0,0,0,0
"P46937",0,0,0,0,0,0,0,0,0,2
"P67809",2,2,1,0,6,8,5,8,8,10
"P62736",6,11,5,13,15,6,3,4,5,17
"Q562R1",2,0,0,0,2,0,0,2,0,0
"Q9BYX7",0,0,0,12,7,0,0,0,0,0
"P07311",0,0,0,0,0,0,0,0,0,13
"Q04828",0,0,0,0,23,19,37,45,38,16
"P02768",0,0,14,30,2,0,0,0,0,0
"P04745",0,0,0,0,2,6,0,0,0,0
"P27824",0,0,0,0,5,0,0,0,0,0
"Q01518",0,0,0,1,2,2,0,0,0,0
"P40121",0,0,0,0,4,0,0,0,0,0
"Q9NXV6",0,0,0,0,0,1,0,0,0,0
"Q8NHZ8",0,0,0,1,0,0,0,0,0,0
"P46527",0,0,0,0,0,2,0,1,0,0
"Q9Y6H1",0,0,0,0,0,0,0,0,0,5
"Q2KHT3",4,6,6,2,5,2,0,0,0,0
"Q9BRF8",0,0,0,0,2,0,0,0,0,0
"Q9BY42",0,0,0,0,0,0,0,0,0,2
"O60888",0,0,5,6,0,0,0,0,0,0
"P51397",0,0,0,0,0,0,0,2,0,4
"Q14195",0,0,0,0,0,7,0,0,0,0
"P33316",0,0,0,2,29,36,12,3,0,1
"P63167",0,0,0,0,0,5,2,0,0,0
"Q96FJ2",0,0,0,0,0,2,0,0,0,0
"P26641",0,0,0,0,0,0,0,0,0,4
"Q15717",0,1,0,0,0,0,0,0,0,0
"P14324",0,0,0,35,0,0,0,0,0,0
"P02792",0,0,0,15,4,0,0,0,0,0
"P04406",29,17,0,108,84,66,26,18,24,32
"P51570",0,0,0,0,16,0,0,0,0,0
"Q14697",0,0,0,4,0,0,0,0,0,0
"P50395",0,0,0,0,25,82,12,0,0,0
"P14136",3,1,2,0,0,0,2,0,2,1
"P30047",0,0,0,0,2,7,0,0,0,0
"Q6EEV4",0,0,0,0,0,0,0,2,0,0
"P35754",0,0,0,0,0,0,8,12,10,7
"P60983",0,0,0,0,9,0,0,0,0,0
"P09488",0,0,0,0,4,17,2,0,0,0
"Q9Y2T3",0,0,0,9,0,0,0,0,0,0
"O43504",0,0,6,0,0,0,0,0,0,0
"P50135",0,0,0,14,0,0,0,0,0,0
"P61978",5,6,5,8,12,3,0,0,0,0
"P32754",0,0,0,0,0,0,2,0,0,0
"P34931",0,0,0,7,16,5,0,0,0,0
"Q6NXS1",0,0,2,0,0,0,0,0,0,0
"P13645",79,67,32,12,16,31,26,24,29,19
"P13646",10,7,0,0,0,0,0,0,0,0
"P02533",12,5,0,2,0,0,1,2,0,2
"P08779",2,0,0,0,0,0,4,0,0,0
"Q04695",3,2,2,0,4,0,2,0,4,0
"P35527",59,39,0,13,6,7,8,21,13,29
"P35908",38,36,12,12,13,24,15,15,17,18
"P13647",16,0,0,0,0,2,1,0,0,0
"P02538",3,0,0,0,0,0,6,0,0,0
"P05787",0,0,0,0,0,0,0,0,2,0
"Q9BYZ2",0,0,0,0,0,0,0,0,0,1
"Q8N456",1,2,0,0,0,0,0,0,0,0
"P61626",0,0,0,0,0,0,0,0,0,9
"P55145",0,0,0,0,0,0,0,0,0,17
"P40925",0,0,0,48,76,58,1,0,0,2
"Q8N4Q1",0,2,1,0,0,0,0,0,0,0
"P49006",0,0,0,2,0,0,0,0,0,0
"P58546",0,0,2,35,12,4,3,0,0,0
"P35749",0,0,0,2,0,0,0,0,0,0
"O60361",0,0,0,0,0,29,30,13,0,0
"P15531",0,0,0,0,0,16,16,16,13,0
"P22392",0,0,0,0,2,6,4,6,6,7
"Q15843",0,0,0,0,2,8,12,12,10,8
"P61916",0,0,0,2,1,7,6,5,4,0
