"","Orbitrap_HeLaNE_SGF_Fraction1","Orbitrap_HeLaNE_SGF_Fraction2","Orbitrap_HeLaNE_SGF_Fraction3","Orbitrap_HeLaNE_SGF_Fraction4","Orbitrap_HeLaNE_SGF_Fraction5","Orbitrap_HeLaNE_SGF_Fraction6","Orbitrap_HeLaNE_SGF_Fraction7","Orbitrap_HeLaNE_SGF_Fraction8","Orbitrap_HeLaNE_SGF_Fraction9","Orbitrap_HeLaNE_SGF_Fraction10","Orbitrap_HeLaNE_SGF_Fraction11","Orbitrap_HeLaNE_SGF_Fraction12","Orbitrap_HeLaNE_SGF_Fraction13","Orbitrap_HeLaNE_SGF_Fraction14"
"P53992",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"O14828",0,0,4,8,9,8,5,3,6,11,6,0,0,3
"Q8WVM8",0,0,0,7,15,6,0,0,4,0,0,0,0,0
"Q6NUK1",15,13,28,17,42,51,36,25,16,11,8,5,4,4
"O43819",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Q14108",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Q9UBV2",0,0,0,0,5,2,3,0,0,0,0,0,0,0
"Q9H4L4",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"O43175",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Q9NRX5",0,0,0,0,0,0,0,6,4,0,0,0,0,0
"P50454",0,2,4,4,2,3,0,0,0,0,0,0,0,0
"Q01105",0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Q15459",0,2,24,0,0,0,0,0,0,7,0,6,0,0
"Q12874",0,0,5,0,0,0,0,0,0,1,1,0,0,0
"O75533",2,14,33,0,0,0,0,2,4,4,0,0,0,0
"Q13435",0,14,91,11,4,0,2,0,8,16,3,2,0,0
"Q15393",0,0,12,10,0,0,0,4,2,3,0,5,0,0
"Q9BWJ5",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"P23246",0,0,2,2,0,9,0,10,11,16,11,5,0,0
"Q9H9B4",2,13,43,72,51,55,56,49,36,18,9,7,0,6
"Q96NB2",0,0,0,3,0,2,2,0,0,0,0,0,0,0
"Q9BWM7",0,0,15,30,27,31,28,48,19,19,4,4,0,0
"Q9GZT3",0,16,11,5,3,5,6,4,13,15,17,0,0,0
"Q9NWH9",0,0,0,0,0,0,0,0,2,10,3,3,0,0
"P62314",2,21,25,21,14,13,16,4,0,0,0,0,0,0
"Q7KZF4",0,0,0,0,0,0,0,0,3,7,14,7,2,0
"O00161",0,0,0,3,8,1,0,0,0,0,0,0,0,0
"P09012",0,0,20,4,0,0,0,0,0,0,0,0,0,0
"O43290",0,0,0,0,0,0,0,0,0,4,5,4,0,0
"P35610",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"P61009",0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Q9BSE5",0,0,3,3,0,0,0,0,0,0,0,0,0,0
"Q9UQ90",0,0,0,3,2,4,2,0,0,0,0,0,0,0
"O00267",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Q13813",0,17,75,77,65,67,78,69,35,27,49,11,0,0
"Q9Y6N5",0,0,0,0,1,0,3,10,8,4,0,0,0,0
"Q13501",0,11,31,23,22,22,15,11,10,8,6,2,0,0
"Q14247",0,0,6,0,0,0,0,0,0,0,0,0,0,0
"P37108",18,23,5,0,0,0,2,1,11,22,17,12,2,0
"Q9UQ35",0,0,0,0,0,7,15,15,32,42,26,0,0,0
"Q9BXP5",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Q05519",0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Q07955",0,0,0,36,0,10,0,0,0,0,0,0,0,0
"Q01130",0,0,12,24,10,7,0,0,0,0,0,0,0,0
"P84103",0,0,0,17,25,29,30,15,0,0,0,0,0,0
"Q13243",0,0,0,0,1,2,6,5,0,0,0,0,0,0
"Q16629",0,0,0,0,0,0,17,0,0,0,0,0,0,0
"Q13242",0,0,23,10,0,0,0,0,0,0,0,0,0,0
"Q04837",0,0,15,30,23,21,31,25,5,0,0,0,0,0
"P43307",0,0,0,8,12,7,7,10,2,0,0,0,0,0
"Q8N3U4",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Q9UJZ1",0,10,22,59,60,72,74,68,19,22,13,13,2,4
"P27105",0,6,12,29,29,26,32,13,1,0,0,0,0,0
"O43815",0,0,21,0,0,0,0,0,0,0,0,0,0,0
"Q8TCJ2",0,0,0,0,1,0,3,0,0,0,0,0,0,0
"Q12846",0,0,0,2,2,1,0,0,0,0,0,0,0,0
"O15400",0,0,0,0,0,0,0,0,5,0,0,0,0,0
"Q8IX01",0,0,0,0,0,0,0,9,6,6,2,0,0,0
"Q15526",0,0,0,6,10,7,8,10,12,0,0,0,0,0
"P14868",0,0,2,55,7,3,4,0,0,0,0,0,0,0
"P07814",0,2,51,162,15,5,0,6,0,0,0,0,0,0
"P57105",0,0,0,0,12,9,8,1,2,1,0,0,0,0
"Q9P2J5",0,7,30,88,0,0,0,0,0,0,0,0,0,0
"P56192",0,0,9,28,0,0,0,0,0,0,0,0,0,0
"Q92797",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"P54136",0,3,12,47,5,0,0,0,0,0,0,0,0,0
"P26640",0,17,47,2,2,0,0,0,0,0,0,0,0,0
"Q9Y2Z4",0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Q9H061",0,0,3,6,5,7,5,0,0,0,0,0,0,0
"Q8IUX1",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Q03518",0,0,2,8,6,7,6,6,6,2,2,0,0,0
"Q9C0C2",0,8,5,0,0,0,0,0,0,0,0,0,0,0
"Q9BQE3",0,0,0,3,7,1,6,5,0,0,0,0,0,0
"P68366",0,0,4,6,0,0,0,7,2,0,0,0,0,0
"Q13885",1,18,66,77,66,65,74,65,25,12,12,6,0,0
"P53999",0,0,0,0,0,0,0,0,8,7,4,0,0,0
"P17987",0,0,18,15,0,0,0,0,0,0,0,0,0,0
"P78371",0,17,48,30,0,0,0,0,0,0,0,0,0,0
"P50991",0,4,37,22,0,2,0,0,0,0,0,0,0,0
"P48643",0,8,17,13,6,0,2,3,0,0,0,0,0,0
"P49368",0,7,18,17,0,0,0,0,0,0,0,0,0,0
"Q99832",0,0,8,11,0,0,0,0,0,0,0,0,0,0
"P50990",0,0,18,7,0,0,0,0,0,0,0,0,0,0
"P40227",0,13,44,35,5,3,5,0,0,0,0,0,0,0
"Q9NZ01",0,0,0,0,0,0,0,4,0,0,0,0,0,0
"P55072",5,53,207,138,126,136,123,108,34,7,0,0,0,0
"Q9UKN8",0,0,0,0,2,3,5,9,0,0,0,0,0,0
"P02786",6,9,41,149,205,234,236,225,141,82,37,17,5,6
"P24752",0,0,6,7,5,7,6,6,0,0,0,0,0,0
"P42765",0,3,2,0,0,0,0,0,0,0,0,0,0,0
"Q99595",0,0,2,4,0,6,5,3,0,0,0,0,0,0
"O60830",0,0,0,12,13,20,14,22,3,0,0,0,0,0
"Q9NPL8",0,0,0,0,0,1,1,0,0,0,0,0,0,0
"O15164",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Q13263",0,3,17,0,0,0,0,0,2,0,0,0,0,0
"Q9Y5L4",0,0,3,0,0,0,2,0,0,1,1,0,0,0
"Q96DA6",0,0,0,0,0,0,0,0,0,8,5,4,0,0
"Q9Y5J7",0,7,0,0,0,0,0,0,12,16,13,7,0,0
"Q9Y5J6",0,0,0,0,0,0,0,3,4,0,0,0,0,0
"Q9HC07",0,0,0,9,12,15,11,13,7,0,0,0,0,0
"Q6NUQ4",0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Q99805",0,0,0,0,0,3,5,3,0,0,0,0,0,0
"Q92544",0,0,0,0,0,9,5,8,13,0,0,0,0,0
"Q9UM00",0,0,0,1,6,8,7,9,0,0,2,0,0,0
"Q15363",0,0,0,2,8,10,7,8,0,0,0,0,0,0
"Q9BVK6",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"P49755",0,0,0,14,21,28,27,27,11,8,4,2,0,0
"P57088",0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Q9BTV4",0,0,0,2,2,2,0,0,0,0,0,0,0,0
"Q9NYL9",0,9,20,14,3,4,0,9,1,3,0,0,0,0
"Q6ZXV5",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Q96JJ7",0,0,0,1,1,2,0,2,0,0,0,0,0,0
"Q9NS69",14,14,28,52,81,80,82,39,22,1,0,0,0,0
"O96008",0,10,23,38,50,56,57,39,27,31,17,0,0,0
"O94826",0,0,3,38,32,40,36,26,9,0,0,7,0,0
"O94842",0,1,2,0,0,0,0,0,0,0,0,0,0,0
"P07951",0,3,21,0,0,0,0,0,0,0,0,0,0,0
"P67936",0,0,26,4,0,0,0,0,0,0,0,0,0,0
"O14773",0,0,0,0,1,2,0,0,0,0,0,0,0,0
"P12270",0,11,42,10,3,4,4,0,0,0,0,0,0,0
"Q9UI30",4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q9Y2W1",0,0,0,0,0,0,0,0,0,0,0,9,8,0
"Q12931",0,0,0,3,0,0,0,0,2,5,0,0,0,0
"Q2NL82",0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Q15006",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"P40222",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Q9NUQ3",5,4,0,0,0,0,0,0,0,0,0,0,0,0
"P53007",0,0,0,0,0,0,0,0,8,0,0,0,0,0
"P26368",0,8,9,11,3,2,0,0,0,0,0,0,0,0
"O75643",0,0,0,0,0,0,0,0,0,2,5,0,0,0
"Q15029",0,2,0,2,0,0,0,0,0,0,0,0,0,0
"Q8NBM4",0,0,0,0,6,0,7,0,4,0,0,0,0,0
"Q5T6F2",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"O95071",0,0,8,15,4,0,0,0,0,0,0,0,0,0
"Q96IX5",0,0,0,0,0,0,0,0,6,0,0,0,0,0
"Q15836",0,0,4,10,13,12,12,11,8,3,0,0,0,0
"O95292",0,0,0,1,0,0,0,0,8,3,5,4,0,0
"Q15904",0,0,0,0,0,0,3,3,0,0,0,0,0,0
"P50552",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"P38606",0,7,6,12,42,49,21,7,0,0,0,0,0,0
"P21281",0,8,41,45,47,46,17,1,4,3,0,0,0,0
"P21283",0,0,0,0,0,4,2,7,0,0,0,0,0,0
"Q9Y5K8",0,0,0,0,6,5,4,0,0,0,0,0,0,0
"P36543",0,0,16,12,19,24,14,10,5,0,0,0,0,0
"Q16864",0,11,4,12,5,6,2,0,0,0,0,0,0,0
"Q9UI12",0,0,0,2,10,10,6,0,0,0,0,0,0,0
"P21796",8,15,47,133,170,192,177,150,86,68,56,38,10,10
"P08670",54,57,183,255,157,187,205,244,196,131,132,87,34,43
"Q9Y487",0,0,0,0,0,7,0,4,0,0,0,0,0,0
"Q13488",0,0,0,0,2,1,0,0,0,0,0,0,0,0
"Q9GZS3",0,0,1,0,0,0,1,0,0,0,0,0,0,0
"O14980",0,0,0,3,0,0,0,0,0,0,0,0,0,0
"P13010",0,21,11,5,2,2,1,0,0,0,0,0,0,0
"P12956",0,17,23,18,16,16,16,18,2,0,1,0,0,0
"P67809",0,1,14,14,15,15,12,11,6,0,0,0,0,0
"P07947",0,0,0,5,7,4,0,0,0,0,0,0,0,0
"Q5BJH7",0,2,1,3,0,0,0,0,0,0,0,0,0,0
"Q96TA2",0,0,0,22,12,21,20,31,13,8,2,2,0,0
"Q9UPT8",0,5,8,5,8,5,1,0,0,0,0,0,0,0
"Q7Z2W4",0,0,0,0,0,0,1,2,0,13,7,5,0,0
"Q9C0B5",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Q5BKZ1",0,0,0,0,5,11,14,19,8,5,0,0,0,0
"Q14966",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Q9Y6M5",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Q8TAD4",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"P30443",0,2,17,34,32,41,38,34,25,18,14,4,0,0
"P18462",0,0,11,10,13,8,9,13,18,0,0,0,0,0
"P01889",0,0,4,12,8,9,8,9,4,6,4,3,0,0
"P30461",0,0,0,4,4,4,2,0,0,0,0,0,0,0
"P30462",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P30492",0,0,0,0,3,0,5,0,0,0,0,0,0,0
"P30499",0,0,7,7,5,0,4,0,0,0,0,0,0,0
"P30501",0,0,1,5,4,5,6,0,0,0,0,0,0,0
"P62736",79,106,156,226,207,191,178,175,152,87,93,59,36,24
"Q562R1",0,0,0,8,6,0,8,7,0,0,3,3,0,0
"Q9BYX7",0,0,25,26,13,13,18,23,30,26,25,0,0,0
"Q13155",0,2,14,13,3,0,0,0,0,0,0,0,0,0
"P56385",0,0,0,0,5,3,3,0,19,9,2,0,0,0
"P00846",0,0,0,0,0,0,0,0,6,0,0,0,0,0
"Q16611",0,0,0,2,1,2,0,0,0,0,0,0,0,0
"O15155",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Q3MJ40",0,0,0,0,0,0,2,4,13,0,0,0,0,0
"P54289",0,0,0,6,9,8,5,0,0,0,0,0,0,0
"Q16790",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P27824",0,7,37,89,118,114,107,44,47,30,21,7,9,0
"Q9NXV6",0,0,4,5,6,7,5,5,1,0,0,0,0,0
"Q8NBI6",0,0,0,2,1,1,0,0,0,0,0,0,0,0
"Q96EE4",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Q9H2F9",0,0,0,0,0,2,4,7,7,4,0,0,0,0
"Q96EH3",0,0,0,5,4,2,0,0,0,0,0,0,0,0
"Q8TDX6",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Q96BP2",0,0,0,0,2,2,3,2,7,6,5,0,0,0
"Q9Y6H1",0,3,7,6,8,6,7,7,5,3,0,0,0,0
"Q9BRQ6",0,0,0,0,1,4,5,4,6,0,0,0,0,0
"Q96FZ7",0,0,0,0,0,0,0,4,2,0,0,0,0,0
"Q8N4H0",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Q6UW78",0,0,7,5,14,13,12,0,0,0,0,0,0,0
"Q9NWW5",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"P53621",0,5,0,0,0,0,2,4,0,0,0,0,0,0
"Q9ULV4",0,7,27,32,43,35,14,6,0,0,0,0,0,0
"Q9UFG5",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Q14999",0,0,0,0,2,3,0,0,0,0,0,0,0,0
"Q6ICL3",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"P12074",0,6,0,0,8,0,0,0,0,0,0,0,0,0
"P14406",0,2,5,13,13,15,16,21,29,31,26,7,0,0
"Q96MA1",0,0,0,0,2,0,0,0,0,0,0,0,0,0
"P29692",0,28,97,9,3,0,2,0,10,8,4,0,0,0
"P26641",0,0,32,0,0,0,0,0,0,0,0,0,1,0
"O00303",0,0,0,0,0,2,1,0,0,0,0,0,0,0
"Q15717",0,0,4,29,42,39,52,56,52,40,36,4,0,0
"Q9Y247",0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Q9NVK5",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"P02792",0,0,8,0,0,0,0,0,0,0,0,0,0,0
"Q9BYC5",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"P04406",0,34,20,11,9,7,9,3,2,10,8,0,0,0
"O43716",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Q8TB36",0,0,0,5,8,2,6,5,0,0,0,0,0,0
"O95267",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Q8TDB8",0,0,0,3,2,0,3,0,0,0,0,0,0,0
"Q92839",0,0,35,0,0,0,0,0,0,0,0,0,0,0
"P68871",0,0,0,5,0,0,0,0,0,0,0,0,0,0
"O43504",0,0,3,2,8,6,1,3,3,0,0,0,0,0
"Q9Y2N7",6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q9Y241",0,0,0,3,6,2,4,0,0,0,0,0,0,0
"P17693",0,0,0,0,2,2,0,0,0,0,0,0,0,0
"P01893",0,0,0,3,0,3,0,1,0,0,0,0,0,0
"Q96RW7",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"O75526",0,0,0,0,4,12,19,24,38,43,38,15,0,0
"P61978",8,71,170,114,82,85,79,57,51,33,22,2,0,0
"P34931",0,0,31,29,16,24,26,18,27,27,21,20,10,9
"Q12906",0,2,13,10,33,45,41,56,38,53,40,32,5,0
"Q16891",0,4,18,45,65,92,112,112,88,55,45,16,10,8
"Q9Y5U9",0,0,0,0,4,5,0,0,0,0,0,0,0,0
"P13645",1,0,0,0,0,0,11,19,0,4,31,0,0,0
"P13646",0,0,0,0,0,0,0,0,0,0,4,0,2,0
"P02533",0,0,0,0,0,0,0,4,0,0,0,4,0,0
"P08779",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Q04695",11,9,0,2,0,0,6,13,0,3,4,0,0,0
"P35527",0,0,0,0,0,0,4,9,0,0,0,0,0,0
"P35908",6,0,0,0,0,0,0,9,0,3,15,0,4,0
"P12035",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"P08729",11,8,39,36,39,42,52,48,43,26,25,8,6,4
"P05787",8,18,44,53,36,60,64,71,41,59,60,34,15,12
"Q8IYT4",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Q15012",0,0,0,0,2,0,0,4,0,0,0,0,0,0
"Q9BYZ2",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P54317",0,0,9,0,0,0,0,0,0,0,0,0,0,0
"Q9NUN5",0,0,0,0,0,1,0,1,0,0,0,0,0,0
"O14494",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Q7Z4F1",0,0,0,0,0,4,2,0,0,0,0,0,0,0
"Q8WUT4",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"O15296",0,0,0,6,0,0,0,0,0,0,0,0,0,0
"P61244",0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Q4ZIN3",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Q16626",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Q9UQ53",0,0,0,0,0,4,2,0,0,0,0,0,0,0
"Q8N4Q1",0,0,0,0,0,0,0,2,2,0,0,0,0,0
"Q8N4V1",0,0,0,2,4,2,4,4,0,0,0,0,0,0
"O75439",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"P39210",0,0,7,9,10,9,7,2,0,0,0,0,0,0
"P49006",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P35749",0,0,7,10,10,8,11,15,9,0,0,0,0,0
"P05976",0,0,5,1,0,0,0,1,0,0,0,0,0,0
"Q8WXC6",0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Q9H009",0,0,0,0,0,0,0,0,1,1,0,0,0,0
"A8MWS5",0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Q9P0J0",0,0,0,0,0,0,5,0,0,0,0,0,0,0
"O43674",0,0,0,0,3,0,2,0,0,0,0,0,0,0
"P28331",0,0,5,25,33,40,44,53,23,13,3,0,0,0
"O75251",0,0,0,16,6,7,9,18,7,0,0,0,0,0
"P18615",0,3,6,2,0,0,0,0,0,0,0,0,0,0
"P36957",0,0,11,44,139,52,30,26,16,22,17,13,0,6
"P08559",0,15,19,41,50,34,7,0,0,0,0,0,0,0
"P11940",0,0,0,5,2,0,7,5,2,19,26,2,0,0
"Q15366",0,0,6,0,0,0,0,0,0,6,0,0,0,0
"Q14123",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"P56589",0,0,0,0,0,0,0,4,0,0,0,0,0,0
"O15173",0,0,0,14,9,9,11,9,5,5,6,12,0,0
"A2A3N6",0,2,6,5,0,0,0,0,0,0,0,0,0,0
"Q02809",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Q8NBT0",0,0,5,0,2,0,0,0,0,0,0,0,0,0
"P79522",0,0,0,0,0,6,4,0,0,0,0,0,0,0
"P62333",0,0,0,13,0,0,0,0,0,0,0,0,0,0
"P49768",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"O14949",0,0,0,9,8,10,8,8,14,0,0,0,0,0
"Q9UDW1",0,0,0,0,4,7,8,10,10,2,0,0,0,0
"Q5XKP0",0,2,12,8,16,18,19,10,1,0,0,0,0,0
"P20339",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Q9H0N0",0,0,0,0,3,2,0,0,0,0,0,0,0,0
"P11233",0,0,0,3,7,3,0,5,0,0,0,0,0,0
"P11234",0,0,2,0,3,0,0,0,0,0,0,0,0,0
"P62834",0,0,4,13,11,17,19,21,1,0,0,0,0,0
"P61224",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Q9BWF3",0,0,9,6,3,2,4,6,4,0,0,0,0,0
"A0AV96",0,5,0,0,0,0,0,0,0,0,0,0,0,0
"P62750",0,0,0,0,0,0,2,4,8,24,32,36,38,19
"P52815",4,20,17,28,47,31,20,24,23,40,26,14,5,5
"Q8IXM3",0,5,5,25,49,32,31,14,0,0,0,0,0,0
"Q9Y6G3",0,0,0,0,22,11,9,8,0,0,0,0,0,0
"Q8N5N7",0,0,0,0,39,20,12,4,0,0,0,0,0,0
"Q4U2R6",0,0,0,0,12,3,0,0,0,0,0,0,0,0
"Q86TS9",0,0,0,0,28,14,0,0,0,0,0,0,0,0
"Q6P161",0,0,0,8,4,0,0,0,0,0,0,0,0,0
"Q7Z7F7",0,0,0,0,19,7,7,5,6,3,3,0,0,0
"Q8IYW5",0,0,8,0,0,0,0,0,0,0,0,0,0,0
"O15514",0,0,5,0,0,0,0,0,0,0,0,0,0,0
"P62854",0,0,0,0,0,0,0,8,8,0,0,0,0,0
"O60783",0,0,0,9,0,7,5,7,6,3,1,0,0,0
"Q92552",0,0,0,29,13,13,10,19,11,2,0,0,0,0
"Q9BQC6",0,0,0,0,8,5,4,0,1,1,0,0,0,0
"Q9NQC3",0,14,20,14,11,11,12,0,7,7,9,4,0,0
"Q5VYJ4",0,5,11,0,0,0,0,0,6,0,0,3,0,0
"Q96H78",0,0,0,4,1,2,0,0,0,0,0,0,0,0
"Q9UHD8",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Q15637",0,6,0,0,0,0,0,0,0,0,0,0,0,0
"O00193",4,0,0,0,0,0,0,2,3,5,1,0,0,0
"Q96PQ0",0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Q9UNL2",0,0,0,6,5,5,6,7,8,7,8,7,2,0
"O43752",0,0,0,0,0,0,0,4,0,0,0,0,0,0
"P47897",0,0,7,51,0,0,0,0,0,0,0,0,0,0
"Q7Z7N9",0,0,0,0,0,0,4,0,0,0,0,0,0,0
"P35269",0,0,9,0,0,0,0,0,0,0,0,0,0,0
"Q71U36",5,15,71,77,58,56,55,44,64,33,13,8,0,0
"P68363",0,0,5,13,14,15,15,19,5,0,0,0,0,0
"Q9H4B7",0,0,17,8,6,6,5,5,0,0,0,0,0,0
"P68371",0,9,47,39,27,29,27,25,31,25,29,24,7,5
"P07437",0,0,29,26,19,20,19,23,19,9,9,0,0,0
"Q9BUF5",0,0,3,2,1,5,6,5,0,0,0,0,0,0
"Q86V81",0,2,0,0,0,0,4,8,13,17,17,6,0,0
"P62072",0,0,0,0,0,3,2,7,9,8,7,5,0,0
"Q8WZ42",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"P29401",0,5,0,1,0,0,0,0,0,0,0,0,0,0
"Q9NUH8",0,0,0,7,12,7,11,14,0,0,0,0,0,0
"Q9P0S9",0,0,10,27,47,45,49,34,0,0,0,0,0,0
"Q53S58",0,0,0,0,10,6,0,3,0,0,0,0,0,0
"Q9NZR1",0,0,3,4,0,0,0,0,0,0,0,0,0,0
"Q15388",0,0,8,10,6,7,7,8,9,0,0,0,0,0
"Q96B49",0,0,0,0,0,0,0,0,0,0,7,0,0,0
"Q9P0U1",0,0,9,19,25,31,25,6,0,0,0,0,0,0
"P07477",11,8,0,0,0,0,0,0,0,10,10,7,5,0
"O14530",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"P63027",0,0,0,7,10,8,6,6,5,4,2,0,0,0
"P04004",0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Q96I51",0,0,0,0,2,1,0,0,0,0,0,0,0,0
"O43298",0,0,0,3,3,0,0,0,0,0,0,0,0,0
"Q8N9F8",0,0,13,14,11,8,21,13,14,0,0,0,0,0
"Q6PML9",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Q15942",9,0,0,0,0,0,0,0,0,0,0,0,0,0
"P08195",0,4,50,108,125,120,107,116,68,33,19,11,0,0
"O75027",0,3,7,20,23,26,12,16,2,0,0,0,0,0
"P12814",0,0,5,6,4,9,7,9,0,0,0,0,0,0
"Q12904",0,0,10,39,5,2,0,0,0,0,0,0,0,0
"P51648",0,0,0,6,0,10,10,14,0,0,0,0,0,0
"P04075",0,20,10,0,0,0,0,0,0,0,0,0,0,0
"Q9H6U8",0,0,0,2,0,4,0,2,0,0,0,0,0,0
"P07355",0,16,58,127,133,163,205,179,82,33,29,18,0,2
"P09525",0,0,12,11,9,13,13,16,0,0,0,0,0,0
"P20073",0,0,5,7,7,9,6,7,5,5,2,0,0,0
"P63010",0,0,3,3,6,12,10,0,0,6,8,0,0,0
"Q92974",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"P98194",0,0,0,3,4,6,5,6,3,0,0,0,0,0
"P18859",0,0,59,96,95,109,98,145,190,107,71,43,17,17
"Q04656",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Q9UPN4",0,0,0,0,0,0,0,0,0,0,0,7,2,0
"Q5JTJ3",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Q05682",0,16,82,9,1,0,0,0,0,1,10,4,0,0
"P62158",0,0,2,0,3,0,4,5,9,7,4,0,0,0
"P47756",0,0,4,12,0,0,0,2,0,0,0,0,0,0
"Q96G23",0,0,0,6,6,5,4,2,0,0,0,0,0,0
"Q9Y3Y2",0,0,0,0,0,0,0,0,10,11,12,7,1,0
"Q9H078",0,2,9,7,1,2,1,3,0,0,0,0,0,0
"O96005",0,0,0,0,0,3,2,0,0,0,0,0,0,0
"Q9UJS0",0,7,26,69,63,82,77,73,49,26,10,0,0,0
"O14548",0,6,10,8,6,4,9,0,0,0,0,0,0,0
"Q99829",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Q16630",0,3,0,1,1,0,0,0,0,0,0,0,0,0
"P31327",0,5,16,24,12,9,9,15,0,0,0,0,0,0
"P68400",0,0,0,3,0,0,0,0,0,0,0,0,0,0
"O43169",0,7,10,20,23,18,18,13,0,0,0,0,0,0
"P08174",0,0,2,10,12,12,8,8,5,0,0,0,0,0
"Q14203",0,0,27,0,0,0,0,0,0,0,0,0,0,0
"Q13561",0,0,71,4,0,0,0,0,0,0,0,0,0,0
"Q92841",0,0,0,12,1,10,7,15,30,39,28,12,11,8
"Q7L014",0,4,16,6,0,0,0,0,0,0,0,0,0,0
"Q9UBX3",0,0,2,0,8,10,11,0,0,0,0,0,0,0
"Q9NP97",0,0,7,0,0,0,0,0,0,0,0,0,0,0
"O60762",0,0,0,1,0,3,1,0,0,0,0,0,0,0
"P49411",0,0,10,18,10,12,9,12,15,8,8,2,0,0
"Q99613",0,0,0,3,6,10,7,2,0,0,0,0,0,0
"Q9UNN8",0,0,0,0,2,3,0,0,0,0,0,0,0,0
"Q969X5",0,0,0,0,4,2,4,0,0,0,0,0,0,0
"Q9Y282",0,0,2,7,3,5,4,0,0,0,0,0,0,0
"O75477",0,0,0,10,10,16,8,11,11,14,12,4,0,0
"Q9BSJ8",0,0,0,0,9,8,11,20,7,4,8,3,0,0
